scenario_id,seed_set,profile_name,target_Np,target_SR,target_MM,obs_Np,obs_SR,obs_MM,error_Np_pct,error_SR_pct,error_MM_pct,chains_used,rhat_Np,ess_Np,rhat_SR,ess_SR,rhat_MM,ess_MM,run_time_sec
8,200,Equal_Linear,200,1,2,200.9675861111111,1.0001768806720652,2.0113125748934424,0.48379305555555163,0.017688067206522717,0.5656287446721198,4,1.0005708546669558,38826.0573255773,1.0000608898664063,54477.58016809348,1.0020473400029213,7506.880262856483,11.89920687675476
8,300,Equal_Linear,200,1,2,201.25518888888888,1.000168509106567,2.0266748105713868,0.6275944444444406,0.016850910656707185,1.3337405285693382,4,1.0146778832255594,34014.56839255373,1.0000905188062166,47118.09906341642,1.195822706168352,3918.0996906806968,11.308280944824219
9,100,Equal_Linear,200,1,4,201.28228333333334,0.9999991204869272,4.00067287978888,0.6411416666666696,8.795130728156408e-5,0.01682199472199386,4,1.0000708351272567,44106.9758855141,1.0001059937613321,48508.28714423133,1.0030513476883423,12834.529462361812,12.205169916152954
9,200,Equal_Linear,200,1,4,201.34553333333332,1.000068452466084,3.9972599706306955,0.6727666666666607,0.006845246608389033,0.06850073423261271,4,1.0003351413113402,40316.72331595256,1.0001772113013732,47404.785568756146,1.0003931268353385,12085.645413090107,11.985473155975342
9,300,Equal_Linear,200,1,4,201.35083333333333,1.000162263061884,4.002457245509374,0.6754166666666634,0.016226306188404926,0.06143113773435793,4,1.0001474903583474,40799.24144116818,1.0001080563580886,48122.93319144293,1.0017913292406453,11654.623461364388,11.785791873931885
10,100,Equal_Linear,200,2,2,200.6678138888889,1.9915445666724454,2.0151717785221037,0.33390694444445046,0.42277166637773034,0.7585889261051859,4,1.0000830805992262,44044.32899530512,1.0002135761180109,28349.255937212132,1.001501850592256,5834.048678512992,11.643763065338135
10,200,Equal_Linear,200,2,2,200.71527500000002,1.992053484765278,2.0147171382726605,0.3576375000000098,0.39732576173610035,0.7358569136330262,4,1.0000592257430452,46878.60661504343,1.0013375750580222,27033.36136168868,1.0007829133027926,6013.245681395115,11.503964900970459
10,300,Equal_Linear,200,2,2,200.6852,1.9915984970497613,2.016998925779639,0.34260000000000446,0.42007514751193353,0.8499462889819398,4,1.0004424342656977,44582.02638487298,1.001310818900743,26740.99855765715,1.0110461583035049,4662.7438214066815,12.25583791732788
11,100,Equal_Linear,200,2,4,201.1799,1.9939516844501226,4.002306219606795,0.5899500000000018,0.3024157774938696,0.05765549016987226,4,1.0012774401099525,46065.92725687129,1.0006565673758094,33187.71555915648,1.0131621755872913,11221.944616612538,11.884325981140137
11,200,Equal_Linear,200,2,4,201.21279444444446,1.9934169971986484,4.004298558253072,0.6063972222222276,0.32915014006758003,0.10746395632679206,4,1.0045551802398065,43677.132395629684,1.0018576551796328,32880.167636924816,1.0286506331234855,10938.425316887844,12.30987000465393
11,300,Equal_Linear,200,2,4,201.188375,1.9937419338938998,4.002898529222886,0.5941875000000039,0.3129033053050123,0.07246323057215065,4,1.0005996276780558,42039.36230043643,1.000367809762181,32007.09953255173,1.0030130838332572,11886.767820259734,12.701063871383667
12,100,Equal_Linear,200,4,4,200.57253055555555,3.98122189349528,4.000896746066033,0.28626527777777255,0.46945266261799734,0.022418651650824017,4,1.0016764683768549,46907.671121694024,1.0054594126994822,13471.58103845526,1.025868076957927,7674.5767112399135,12.137436151504517
12,200,Equal_Linear,200,4,4,200.6725888888889,3.976926992180969,4.008722780332166,0.336294444444448,0.5768251954757719,0.21806950830414173,4,1.0052848889633683,44657.75226231335,1.0203601841107997,12534.9712796893,1.0657167903340643,6810.148079145493,11.233120203018188
12,300,Equal_Linear,200,4,4,200.76444166666667,3.9728570364042493,4.013454012249878,0.382220833333335,0.6785740898937687,0.3363503062469464,4,1.0071323614681438,40842.80572033109,1.044572069754801,11686.63365031097,1.1231362568227357,5807.946379916523,12.247577905654907
13,100,Equal_Linear,400,1,1,400.1746,0.9999856702745473,1.0158160472144446,0.04364999999999952,0.0014329725452677522,1.5816047214444628,4,1.0004117237044763,9598.320774383597,1.0005446193814531,19087.581111258238,1.007037525632836,432.6172072043695,11.885436058044434
13,200,Equal_Linear,400,1,1,400.2153611111111,1.0000633740747389,1.0164506508088569,0.05384027777778044,0.006337407473888668,1.6450650808856881,4,1.0014261838894103,10184.889470040509,1.0000738159865872,20502.11901986652,1.0063749577659136,346.2837332140002,11.729065895080566
13,300,Equal_Linear,400,1,1,400.0334111111111,0.9999657159508014,1.0208380024838968,0.008352777777773213,0.0034284049198585187,2.083800248389678,4,1.0008528990310332,11742.254385256898,1.0001881793638925,19510.30122357681,1.0049515455465279,286.04599724774187,11.649554967880249
14,100,Equal_Linear,400,1,2,400.89138888888886,1.0000254163747526,2.007358385869951,0.22284722222221373,0.0025416374752618154,0.3679192934975539,4,1.0031606144641725,41868.83124765754,1.0000280432327695,51112.688851345156,1.028127066842367,6867.0279327761455,11.785406112670898
14,200,Equal_Linear,400,1,2,400.71505,1.0000017677796698,2.0056266366073072,0.17876250000000482,1.767779669759051e-4,0.28133183036536114,4,1.0030199866239156,43475.09046586158,1.0004228123657037,51782.79921465939,1.0044543300123672,8634.304159246098,12.220750093460083
14,300,Equal_Linear,400,1,2,400.851025,1.0000263269979657,2.008969053617459,0.2127562499999982,0.0026326997965675503,0.4484526808729461,4,1.0020758539335886,37325.914909809755,1.0001922091154836,52795.589613045,1.0114748415085417,5276.884773945446,11.68309998512268
15,100,Equal_Linear,400,1,4,401.10159444444446,0.99995180336466,4.008744052074893,0.27539861111111463,0.004819663533994767,0.21860130187232318,4,1.0106904283392653,41373.230605486926,1.0003832672646573,59291.57291357189,1.038711752062032,10013.75316032502,12.609166860580444
15,200,Equal_Linear,400,1,4,400.8668222222222,1.0000002620889172,4.004573518040008,0.2167055555555493,2.6208891723555894e-5,0.1143379510001985,4,1.0042141210848103,62019.36211737956,1.0002246251605318,60040.582356145605,1.0196370555433893,13658.204209313233,13.009223937988281
15,300,Equal_Linear,400,1,4,401.01274166666667,1.0000236018475903,4.008772813670012,0.2531854166666676,0.0023601847590315472,0.21932034175029536,4,1.000433567188363,47843.079199329,1.000274164195851,57483.7243189021,1.001862020626576,9512.083703362523,12.267733812332153
