scenario_id,profile_name,target_Np,target_SR,target_MM,obs_Np,obs_SR,obs_MM,error_Np_pct,error_SR_pct,error_MM_pct,chains_used,rhat_Np,ess_Np,rhat_SR,ess_SR,rhat_MM,ess_MM,obs_Np_env,obs_SR_env,obs_MM_env,error_Np_pct_env,error_SR_pct_env,error_MM_pct_env,rhat_Np_env,ess_Np_env,rhat_SR_env,ess_SR_env,rhat_MM_env,ess_MM_env,n_seed_sets
11,Equal_Linear,200,2,4,201.188375,1.9937419338938998,4.002898529222886,0.5941875000000039,0.3129033053050123,0.07246323057215065,12,1.0012774401099525,43677.132395629684,1.0006565673758094,32880.167636924816,1.0131621755872913,11221.944616612538,201.21279444444446,1.9934169971986484,4.004298558253072,0.6063972222222276,0.32915014006758003,0.10746395632679206,1.0045551802398065,42039.36230043643,1.0018576551796328,32007.09953255173,1.0286506331234855,10938.425316887844,3
12,Equal_Linear,200,4,4,200.6725888888889,3.976926992180969,4.008722780332166,0.336294444444448,0.5768251954757719,0.21806950830414173,12,1.0052848889633683,44657.75226231335,1.0203601841107997,12534.9712796893,1.0657167903340643,6810.148079145493,200.76444166666667,3.9728570364042493,4.013454012249878,0.382220833333335,0.6785740898937687,0.3363503062469464,1.0071323614681438,40842.80572033109,1.044572069754801,11686.63365031097,1.1231362568227357,5807.946379916523,3
13,Equal_Linear,400,1,1,400.1746,0.9999657159508014,1.0164506508088569,0.04364999999999952,0.0034284049198585187,1.6450650808856881,12,1.0008528990310332,10184.889470040509,1.0001881793638925,19510.30122357681,1.0063749577659136,346.2837332140002,400.2153611111111,1.0000633740747389,1.0208380024838968,0.05384027777778044,0.006337407473888668,2.083800248389678,1.0014261838894103,9598.320774383597,1.0005446193814531,19087.581111258238,1.007037525632836,286.04599724774187,3
14,Equal_Linear,400,1,2,400.851025,1.0000254163747526,2.007358385869951,0.2127562499999982,0.0025416374752618154,0.3679192934975539,12,1.0030199866239156,41868.83124765754,1.0001922091154836,51782.79921465939,1.0114748415085417,6867.0279327761455,400.89138888888886,1.0000263269979657,2.008969053617459,0.22284722222221373,0.0026326997965675503,0.4484526808729461,1.0031606144641725,37325.914909809755,1.0004228123657037,51112.688851345156,1.028127066842367,5276.884773945446,3
15,Equal_Linear,400,1,4,401.01274166666667,1.0000236018475903,4.008744052074893,0.2531854166666676,0.0023601847590315472,0.21860130187232318,12,1.0042141210848103,47843.079199329,1.000274164195851,59291.57291357189,1.0196370555433893,10013.75316032502,401.10159444444446,0.99995180336466,4.008772813670012,0.27539861111111463,0.004819663533994767,0.21932034175029536,1.0106904283392653,41373.230605486926,1.0003832672646573,57483.7243189021,1.038711752062032,9512.083703362523,3
16,Equal_Linear,400,2,2,400.4592,1.995603295773284,2.0086219129136995,0.11480000000000247,0.21983521133579487,0.4310956456849757,12,1.0006863731481812,50006.06008622283,1.0038220190699665,28100.22123458241,1.018710137830949,5956.213723114296,400.5205888888889,1.9950547022177691,2.0104170185839285,0.1301472222222202,0.24726488911154254,0.5208509291964258,1.0014467278365664,49713.42959126651,1.0085470398967675,24904.4429019138,1.062359352050056,5898.022299121329,3
17,Equal_Linear,400,2,4,400.78334722222223,1.9969999290321567,4.005764876911651,0.19583680555555816,0.15000354839216357,0.14412192279127378,12,1.0008586129493986,58409.21774756223,1.0005662361828882,36742.12982006904,1.006861556101745,12618.057193858542,400.81848333333335,1.9968924024364036,4.006341528672068,0.2046208333333368,0.1553798781798177,0.15853821680169577,1.0026467540811328,54818.60400212442,1.0022517419296202,36150.126554253075,1.019544824689901,12406.573376462207,3
18,Equal_Linear,400,4,4,400.2885138888889,3.9926298132167517,4.0021371185214125,0.07212847222221797,0.1842546695812075,0.05342796303531294,12,1.00027747332081,67024.07049086271,1.0008877258247446,17593.409677366548,1.0014070767601442,8408.916865826297,400.30160277777776,3.992465299123211,4.002741910561603,0.07540069444443986,0.18836752191973005,0.06854776404008334,1.0003748899131333,65275.088515930285,1.001476355099008,17124.553760622173,1.0071465113409293,8400.711575771616,3
19,Equal_Linear,800,1,1,800.0898527777778,1.000019078368784,1.0092416679070915,0.011231597222220557,0.0019078368783898014,0.9241667907091466,12,1.0011650263185174,10331.040312997338,1.0002840742255763,19935.928874321504,1.0190240229502374,293.00011305743504,800.1650916666667,1.000020372679812,1.00996522121101,0.02063645833334249,0.0020372679812030725,0.9965221211009956,1.0012581219994132,10129.130677784222,1.0004811617498413,19597.819515024028,1.0579450218885624,269.83787626991716,3
20,Equal_Linear,800,1,2,800.6764972222222,0.9999648028635195,2.0026557365969295,0.08456215277777801,0.0035197136480480395,0.13278682984647627,12,1.0028959100711814,46790.142174895875,1.0002440745614134,53969.24434945568,1.0102696740422454,9357.357673646362,800.7632805555555,1.0000572901002573,2.003863498650017,0.09541006944444064,0.00572901002573456,0.19317493250083917,1.011896123565012,44820.58297600268,1.0003619058762638,52942.348094055895,1.0612138658418366,7308.920978460452,3
